idx,date,open,high,low,close,volume,transaction_value,listed_stock_amount,market_capitalization,foreigner_limit_buy_quantity,foreigner_available_buy_quantity,foreigner_holding_quantity,foreigner_holding_rate,agency_net_buy_quantity,agency_accumulate_net_buy_quantity,advance_decline_line,advance_decline_ratio,deposit,turnover_ratio,transaction_completion_rate
7811,19920213,49403,49403,47072,48004,10329,502000000,2714000,130282000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7810,19920214,47305,48004,46606,48004,1690,80000000,2714000,130282000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7809,19920215,46140,46606,46140,46606,111,5000000,2714000,126488000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7808,19920217,46606,46606,45674,46373,1102,51000000,2714000,125856000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7807,19920218,46373,46373,45208,45208,639,29000000,2714000,122694000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7806,19920219,44742,45907,44742,45907,884,40000000,2714000,124591000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7805,19920220,45208,45208,44975,44975,201,9000000,2714000,122062000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7804,19920221,44742,45907,44742,44975,712,32000000,2714000,122062000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7803,19920222,45907,46140,45907,45907,789,36000000,2714000,124591000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7802,19920224,46140,46373,45907,45907,1566,72000000,2714000,124591000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7801,19920225,46606,46606,45907,45907,467,22000000,2714000,124591000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7800,19920226,45907,45907,45907,45907,17,1000000,2714000,124591000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7799,19920227,45907,47538,45907,47305,10432,487000000,2714000,128385000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7798,19920228,47538,49636,47538,49636,45302,2230000000,2714000,134712000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7797,19920229,50801,51267,48704,48937,18246,919000000,2714000,132815000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7796,19920302,49636,50335,48704,49170,26116,1303000000,2714000,133447000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7795,19920303,49170,50335,48704,48704,18400,914000000,2714000,132182000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7794,19920304,48004,49636,48004,48937,1120,54000000,2714000,132815000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7793,19920305,48470,49636,48004,48937,15989,783000000,2714000,132815000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7792,19920306,47538,48704,47538,48004,2270,109000000,2714000,130282000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7791,19920307,48937,48937,46140,46606,836,39000000,2714000,126488000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7790,19920309,44509,47305,44509,46606,3398,159000000,2714000,126488000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7789,19920311,44742,46606,44742,46606,2815,130000000,2714000,126488000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
7788,19920312,44509,46373,44509,46373,25,1000000,2714000,125856000000,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
